Anchor 1,Anchor 2,Anchor 3,Anchor 4
-144.01888565773385,-150.68421431974548,-170.5772171930334,-149.34521357187703
-135.53550099687786,-138.9809346035393,-144.72978407666668,-133.61697806909095
-160.11894692111477,-112.56809146238199,-144.56549670686624,-135.40966630342237
-155.2737499316063,-117.63756053589485,-133.89639604169534,-119.42142786996037
-130.23124059338195,-128.6653435690629,-141.9340240416156,-121.80547327527897
-149.11897076485158,-110.65424058938873,-163.57421659256934,-111.92063788762115
-123.71056458894049,-136.2126752911398,-120.1616377924043,-124.09522347854407
-138.3266431532487,-113.34271935930903,-149.5724169477517,-103.98783124390656
-93.9596501361347,-161.4577375065969,-95.07663958428073,-128.80277290909908
-121.23053358400556,-146.59068490454365,-112.58385924360107,-141.60844078898097
-129.86617368166552,-125.51901787179494,-110.49706656168529,-144.04020315110103
-117.86103020735426,-141.97129102070156,-148.83148660661695,-134.1826727491318
-116.85742804571434,-157.43496781323418,-121.5101461681359,-137.3557151375826
-103.47325719627234,-132.26610003816685,-146.17547334091458,-137.4953498014675
-140.38343714254646,-134.08822810023645,-140.23963916800278,-139.93063006445144
-131.57778064702597,-117.5939796545504,-143.20981346713094,-126.46554471171169
-132.03067934595924,-130.39458360554895,-145.66768267270015,-159.46344613212446
-112.35473730548176,-125.17607153314165,-109.23668910204357,-139.83066449998384
-167.6449979533425,-96.86112363462509,-147.81907947025448,-116.3247126502512
-133.33863112855323,-149.7070521149524,-148.94760541444606,-135.45254390009606
-116.36763125431298,-153.5224303306845,-118.84525549124204,-134.16800424769806
-141.2837710708966,-129.9871822838018,-137.35056676992605,-131.42928473572624
-132.43370652624864,-144.0641680627279,-167.82450429822546,-137.48405396338063
