Anchor_1,Anchor_2,Anchor_3,Anchor_4
1.6674842563691863e-06,2.4261757218500523e-06,2.6750753859836924e-06,2.47788870602038e-06
1.7007054982582353e-06,2.9746567979956215e-06,1.523423666824294e-06,1.8826273998809358e-06
6.893732114383901e-07,9.951756466528242e-07,2.4502175370868084e-06,1.057876573336821e-06
1.9462725025485376e-06,2.535958600108995e-06,2.118145938426405e-06,2.2771727616020106e-06
3.174600686984378e-06,6.841164859523002e-07,2.7527541498808733e-06,3.916202785786514e-07
1.662995052339071e-06,2.1997496176957734e-06,2.173874006657202e-06,1.2450836132518607e-06
1.3737884922163992e-06,3.883139401199956e-06,1.3742961393337915e-06,2.3725452065331196e-06
2.5673417052841422e-06,6.307531663334416e-07,2.3079334629412857e-06,1.3676292947380268e-06
1.9967932250077935e-06,2.758354095577334e-06,1.4333032100709425e-06,2.8517183796868955e-06
1.3224251411337068e-06,3.7954473899095965e-06,1.4536807377100468e-06,9.076498374598001e-07
2.9734623603869478e-06,2.7684943011739444e-06,3.517701287501466e-06,3.139115392364077e-06
2.5553316691353786e-06,9.630254884639295e-07,2.7711062648024382e-06,1.478533503486588e-06
3.4761280983424333e-07,3.49001739358291e-06,1.7191718802316407e-06,3.0268418981275307e-06
1.1340228873429621e-06,2.9370599753865104e-06,2.6064222718501527e-06,2.364346788400525e-06
2.695085922136838e-06,2.1600645551328924e-06,2.6388447882871068e-06,2.8017949579016867e-06
1.0230678818475632e-06,2.889295380783061e-06,5.747551154420993e-07,1.7622717418890512e-06
2.153466779253702e-06,1.4005380654859363e-06,2.742923374154108e-06,6.938333499920497e-07
2.766611558833468e-06,2.657878492035413e-06,2.2155732802567074e-06,1.5969001229919608e-06
1.7873783956638419e-06,2.023009720610202e-06,2.329461157574157e-06,1.877874747648932e-06
5.965719491114438e-07,2.502910150322273e-06,1.7200826478331637e-06,2.812424389013745e-06
2.9655423397194196e-06,2.479154990831115e-06,2.468793577700951e-06,1.384281077307022e-06
1.6701467872852408e-06,2.9586493739070903e-06,1.1250268636975862e-06,3.0237998347242617e-06
2.0183428663793366e-06,1.1306653386318248e-06,2.67931013442574e-06,1.87493895004302e-06
3.1451284433838195e-06,1.4549794975155903e-06,2.7382699914386875e-06,1.2520941209784775e-06
8.469939770986654e-07,2.498000133016112e-06,1.3946903924410482e-06,3.1203073163877665e-06
1.6255533793137634e-06,2.600276615765271e-06,5.260585233338698e-07,2.7163204305077365e-06
1.8115273786804543e-06,3.192488297768671e-06,9.62686157836092e-07,1.6965930307961135e-06
1.2132181524383492e-06,2.5370371459750535e-06,2.587266257277521e-06,2.5480796629836275e-06
1.8281086286780137e-06,1.5389173544907614e-06,2.1267959648964436e-06,4.094095140531465e-07
1.1891843275954908e-06,3.245733337990033e-06,1.0326542922258428e-06,2.2406341524418056e-06
2.394876639964151e-06,1.0984613297602082e-06,1.6353002057085558e-06,-8.381842212639053e-07
1.2468029572990949e-06,4.398014584320117e-06,2.3139884706571427e-06,3.0363995442942384e-06
1.959387823153906e-06,1.996230557184359e-06,2.0184275344354937e-06,2.081021213042314e-06
2.918059266440432e-06,1.235223280399567e-06,2.6435284172366663e-06,4.0070285980375055e-07
1.6041491633389237e-06,7.089968166126653e-07,2.1109119000270876e-06,1.077457827461643e-06
1.9625080985439106e-06,1.5825126711827008e-06,2.5039261090182464e-06,1.6883537137097553e-06
3.0960549879200774e-06,-5.580049040778182e-08,2.0348442142513452e-06,1.0159034606959214e-06
1.492323609781623e-06,2.2913540380151375e-06,1.1542007312892085e-06,2.0079196302211782e-06
1.8398124388360253e-06,8.372955257308799e-07,3.1017260972265237e-06,-3.1168922549097333e-07
4.012034794769816e-07,2.7276748639439853e-06,4.7160903490370677e-07,2.8696629424520537e-06
-1.6509486829178478e-07,3.108868720668584e-06,4.2234559590652084e-07,1.593718635819283e-06
4.012216831248273e-07,3.4769281994558236e-06,5.7597710145243854e-08,2.468654126936402e-06
